algorithm,corpus_fraction,corpus_chunks,k,query_count,precision_mean,precision_median,precision_std,precision_min,precision_max,recall_mean,recall_median,recall_std,recall_min,recall_max,mrr_mean,mrr_median,mrr_std,mrr_min,mrr_max,hit_rate_mean,hit_rate_median,hit_rate_std,hit_rate_min,hit_rate_max
linear,1.0,1305,1,30,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.09454745145921617,0.07417582417582418,0.0750853962823435,0.0,0.3333333333333333,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0
linear,1.0,1305,3,30,0.7777777777777778,0.8333333333333333,0.26743185236191797,0.0,1.0,0.2570640905935024,0.19934640522875818,0.169412632038099,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
linear,1.0,1305,5,30,0.6333333333333333,0.6,0.25775333481682716,0.0,1.0,0.31974957504369267,0.28594771241830064,0.16388119226977946,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
linear,1.0,1305,10,30,0.5399999999999999,0.6,0.2607680962081059,0.1,1.0,0.5118049270990448,0.5,0.20094339764616204,0.21428571428571427,1.0,0.9208333333333333,1.0,0.21396133768274236,0.125,1.0,1.0,1.0,0.0,1.0,1.0
optimized,1.0,1305,1,30,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.09454745145921617,0.07417582417582418,0.0750853962823435,0.0,0.3333333333333333,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0,0.8666666666666667,1.0,0.3457459036417604,0.0,1.0
optimized,1.0,1305,3,30,0.7777777777777778,0.8333333333333333,0.26743185236191797,0.0,1.0,0.2570640905935024,0.19934640522875818,0.169412632038099,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
optimized,1.0,1305,5,30,0.6333333333333333,0.6,0.25775333481682716,0.0,1.0,0.31974957504369267,0.28594771241830064,0.16388119226977946,0.0,0.75,0.9166666666666666,1.0,0.23056651868870703,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
optimized,1.0,1305,10,30,0.5399999999999999,0.6,0.2607680962081059,0.1,1.0,0.5118049270990448,0.5,0.20094339764616204,0.21428571428571427,1.0,0.9208333333333333,1.0,0.21396133768274236,0.125,1.0,1.0,1.0,0.0,1.0,1.0
semantic,1.0,1305,1,30,0.9,1.0,0.30512857662936466,0.0,1.0,0.11676967368143838,0.08012820512820512,0.11078900966556929,0.0,0.5,0.9,1.0,0.30512857662936466,0.0,1.0,0.9,1.0,0.30512857662936466,0.0,1.0
semantic,1.0,1305,3,30,0.7777777777777778,1.0,0.28139408470465194,0.0,1.0,0.26173136776077954,0.2403846153846154,0.18493413990735422,0.0,1.0,0.9277777777777777,1.0,0.23028939536898463,0.0,1.0,0.9666666666666667,1.0,0.18257418583505536,0.0,1.0
semantic,1.0,1305,5,30,0.76,0.8,0.21908902300206645,0.4,1.0,0.4190955014484426,0.3333333333333333,0.21763358131340854,0.14285714285714285,1.0,0.9361111111111111,1.0,0.19778870132131,0.25,1.0,1.0,1.0,0.0,1.0,1.0
semantic,1.0,1305,10,30,0.5766666666666667,0.6,0.2269487764374084,0.2,0.9,0.5759064138475903,0.5,0.21083615758807922,0.3333333333333333,1.0,0.9361111111111111,1.0,0.19778870132131,0.25,1.0,1.0,1.0,0.0,1.0,1.0
